team,won,drawn,lost,goals_for,goals_against,season
Fulham FC,5,13,20,27,53,2020
Arsenal FC,18,7,13,55,39,2020
Crystal Palace FC,12,8,18,41,66,2020
Southampton FC,12,7,19,47,68,2020
Liverpool FC,20,9,9,68,42,2020
Leeds United FC,18,5,15,62,54,2020
West Ham United FC,19,8,11,62,47,2020
Newcastle United FC,12,9,17,46,62,2020
West Bromwich Albion FC,5,11,22,35,76,2020
Leicester City FC,20,6,12,68,50,2020
Tottenham Hotspur FC,18,8,12,68,45,2020
Everton FC,17,8,13,47,48,2020
Sheffield United FC,7,2,29,20,63,2020
Wolverhampton Wanderers FC,12,9,17,36,52,2020
Brighton & Hove Albion FC,9,14,15,40,46,2020
Chelsea FC,19,10,9,58,36,2020
Manchester United FC,21,11,6,73,44,2020
Burnley FC,10,9,19,33,55,2020
Aston Villa FC,16,7,15,55,46,2020
Manchester City FC,27,5,6,83,32,2020
Brentford FC,13,7,18,48,56,2021
Arsenal FC,22,3,13,61,48,2021
Manchester United FC,16,10,12,57,57,2021
Leeds United FC,9,11,18,42,79,2021
Watford FC,6,5,27,34,77,2021
Aston Villa FC,13,6,19,52,54,2021
Leicester City FC,14,10,14,62,59,2021
Wolverhampton Wanderers FC,15,6,17,38,43,2021
Everton FC,11,6,21,43,66,2021
Southampton FC,9,13,16,43,67,2021
Chelsea FC,21,11,6,76,33,2021
Crystal Palace FC,11,15,12,50,46,2021
Burnley FC,7,14,17,34,53,2021
Brighton & Hove Albion FC,12,15,11,42,44,2021
Norwich City FC,5,7,26,23,84,2021
Liverpool FC,28,8,2,94,26,2021
Newcastle United FC,13,10,15,44,62,2021
West Ham United FC,16,8,14,60,51,2021
Tottenham Hotspur FC,22,5,11,69,40,2021
Manchester City FC,29,6,3,99,26,2021
Crystal Palace FC,11,12,15,40,49,2022
Arsenal FC,26,6,6,88,43,2022
Fulham FC,15,7,16,55,53,2022
Liverpool FC,19,10,9,75,47,2022
Tottenham Hotspur FC,18,6,14,70,63,2022
Southampton FC,6,7,25,36,73,2022
Newcastle United FC,19,14,5,68,33,2022
Nottingham Forest FC,9,11,18,38,68,2022
Leeds United FC,7,10,21,48,78,2022
Wolverhampton Wanderers FC,11,8,19,31,58,2022
AFC Bournemouth,11,6,21,37,71,2022
Aston Villa FC,18,7,13,51,46,2022
Everton FC,8,12,18,34,57,2022
Chelsea FC,11,11,16,38,47,2022
Manchester United FC,23,6,9,58,43,2022
Brighton & Hove Albion FC,18,8,12,72,53,2022
Leicester City FC,9,7,22,51,68,2022
Brentford FC,15,14,9,58,46,2022
West Ham United FC,11,7,20,42,55,2022
Manchester City FC,28,5,5,94,33,2022
Burnley FC,5,9,24,41,78,2023
Manchester City FC,28,7,3,96,34,2023
Arsenal FC,28,5,5,91,29,2023
Nottingham Forest FC,9,9,20,49,67,2023
AFC Bournemouth,13,9,16,54,67,2023
West Ham United FC,14,10,14,60,74,2023
Brighton & Hove Albion FC,12,12,14,55,62,2023
Luton Town FC,6,8,24,52,85,2023
Everton FC,13,9,16,40,51,2023
Fulham FC,13,8,17,55,61,2023
Sheffield United FC,3,7,28,35,104,2023
Crystal Palace FC,13,10,15,57,58,2023
Newcastle United FC,18,6,14,85,62,2023
Aston Villa FC,20,8,10,76,61,2023
Brentford FC,10,9,19,56,65,2023
Tottenham Hotspur FC,20,6,12,74,61,2023
Chelsea FC,18,9,11,77,63,2023
Liverpool FC,24,10,4,86,41,2023
Manchester United FC,18,6,14,57,58,2023
Wolverhampton Wanderers FC,13,7,18,50,65,2023
